fecha,producto,cantidad,precio_unitario,vendedor,sucursal
2025-08-28,Remera,2.0,8074.89,Mario,Caba
2025-08-28,Remera,3.0,3678.37,Ana,Rosario
2025-08-28,Gorra,1.0,8955.08,Sofaa,Rosario
2025-08-28,Medias,2.0,16291.69,Carlos,La Plata
2025-08-28,Remera,1.0,4612.15,,Rosario
2025-08-28,Short,2.0,16054.69,Carlos,Rosario
2025-08-28,Pantala3N,3.0,8958.58,Carlos,Caba
2025-08-28,Buzo,2.0,19500.97,Ana,Bahaa Blanca
2025-08-28,Jean,1.0,9028.34,Carlos,Bahaa Blanca
2025-08-28,Medias,1.0,10512.59,Juan,Mar Del Plata
2025-08-28,Buzo,1.0,15492.12,Juan,Rosario
2025-08-28,Jean,2.0,2947.19,Lucaa,Mar Del Plata
2025-08-28,Gorra,1.0,2887.52,Sofaa,Caba
2025-08-28,Remera,1.0,18600.46,Sofaa,Mar Del Plata
2025-08-28,Campera,1.0,1637.19,Juan,Bahaa Blanca
2025-08-28,Jean,1.0,8343.29,Sofaa,Bahaa Blanca
2025-08-28,Campera,3.0,15602.22,Luz,La Plata
2025-08-28,Gorra,1.0,7534.73,,Rosario
2025-08-28,Short,2.0,3494.74,Mario,Rosario
2025-08-28,Campera,1.0,5604.69,Ana,Mar Del Plata
2025-08-28,Pantala3N,3.0,9525.1,Carlos,Mar Del Plata
2025-08-28,Short,2.0,6737.36,Luz,Mar Del Plata
2025-08-28,Jean,2.0,5388.25,Juan,Bahaa Blanca
2025-08-28,Camisa,3.0,7907.98,Ana,Bahaa Blanca
2025-08-28,Campera,1.0,13966.86,Luz,Rosario
2025-08-28,Short,3.0,17255.37,Juan,Rosario
2025-08-28,Campera,3.0,11023.41,Carlos,Caba
2025-08-28,Camisa,2.0,11967.51,Carlos,Mar Del Plata
2025-08-28,Medias,2.0,3717.51,Ana,La Plata
2025-08-28,Remera,2.0,19278.34,,Mar Del Plata
2025-08-28,Zapatilla,2.0,7164.26,Lucaa,Rosario
2025-08-28,Campera,3.0,15926.56,Ana,Mar Del Plata
2025-08-28,Campera,1.0,17848.32,Sofaa,La Plata
2025-08-28,Pantala3N,2.0,8082.42,Juan,Caba
2025-08-28,Remera,1.0,3697.39,Ana,Bahaa Blanca
2025-08-28,Gorra,2.0,11729.06,Ana,Mar Del Plata
2025-08-28,Jean,2.0,9740.11,Juan,Mar Del Plata
2025-08-28,Jean,1.0,5447.69,Lucaa,Caba
2025-08-28,Pantala3N,3.0,19394.83,,Caba
2025-08-28,Gorra,3.0,10290.3,Mario,Bahaa Blanca
2025-08-28,Zapatilla,2.0,18650.36,Carlos,Bahaa Blanca
2025-08-28,Gorra,1.0,5523.55,Lucaa,Mar Del Plata
2025-08-28,Buzo,3.0,5570.91,Sofaa,Caba
2025-08-28,Campera,2.0,3713.4,Juan,Caba
2025-08-28,Medias,1.0,10277.83,Juan,La Plata
2025-08-28,Pantala3N,2.0,9258.97,Mario,Mar Del Plata
2025-08-28,Camisa,1.0,2929.08,Sofaa,Rosario
2025-08-28,Buzo,2.0,17241.38,Carlos,Caba
2025-08-28,Zapatilla,1.0,18715.17,Sofaa,Rosario
2025-08-28,Short,2.0,9329.4,,La Plata
2025-08-28,Zapatilla,3.0,11674.87,Mario,Mar Del Plata
2025-08-28,Zapatilla,2.0,17462.84,Sofaa,La Plata
2025-08-28,Gorra,1.0,3581.07,Ana,Mar Del Plata
2025-08-28,Pantala3N,1.0,14942.29,Carlos,La Plata
2025-08-28,Camisa,3.0,6276.33,Luz,Bahaa Blanca
2025-08-28,Remera,2.0,6683.61,Sofaa,La Plata
2025-08-28,Zapatilla,3.0,19841.87,Sofaa,Mar Del Plata
2025-08-28,Zapatilla,3.0,13099.55,Ana,Bahaa Blanca
2025-08-28,Gorra,1.0,12647.41,Sofaa,Mar Del Plata
2025-08-28,Medias,2.0,17578.12,Luz,Mar Del Plata
2025-08-28,Buzo,3.0,15727.62,Luz,Rosario
2025-08-28,Remera,3.0,6681.74,Luz,Mar Del Plata
2025-08-28,Pantala3N,3.0,13278.0,Luz,Bahaa Blanca
