fecha,producto,cantidad,precio_unitario,vendedor,sucursal,extra_columna
2025-08-28,Remera,,8309.9,Luz,Rosario,irrelevante
2025-08-28,Remera,2.0,8074.89,Mario,CABA,irrelevante
2025-08-28,Remera,3.0,3678.37,Ana,Rosario,irrelevante
2025-08-28,Gorra,1.0,8955.08,Sofía,Rosario,irrelevante
2025-08-28,Medias,2.0,16291.69,Carlos,La Plata,irrelevante
2025-08-28,Remera,1.0,4612.15,,Rosario,irrelevante
2025-08-28,Short,2.0,16054.69,Carlos,Rosario,irrelevante
2025-08-28,Pantalón,3.0,8958.58,Carlos,CABA,irrelevante
2025-08-28,Buzo,2.0,19500.97,Ana,Bahía Blanca,irrelevante
2025-08-28,Short,,15734.35,,La Plata,irrelevante
2025-08-28,Jean,1.0,9028.34,Carlos,Bahía Blanca,irrelevante
2025-08-28,Medias,1.0,10512.59,Juan,Mar del Plata,irrelevante
2025-08-28,Buzo,1.0,15492.12,Juan,Rosario,irrelevante
2025-08-28,Jean,2.0,2947.19,Lucía,Mar del Plata,irrelevante
2025-08-28,Gorra,1.0,2887.52,Sofía,CABA,irrelevante
2025-08-28,Remera,1.0,18600.46,Sofía,Mar del Plata,irrelevante
2025-08-28,Campera,1.0,1637.19,Juan,Bahía Blanca,irrelevante
2025-08-28,Jean,1.0,8343.29,Sofía,Bahía Blanca,irrelevante
2025-08-28,Camisa,,9363.1,Carlos,La Plata,irrelevante
2025-08-28,Campera,3.0,15602.22,Luz,La Plata,irrelevante
2025-08-28,Gorra,1.0,7534.73,,Rosario,irrelevante
2025-08-28,Short,2.0,3494.74,Mario,Rosario,irrelevante
2025-08-28,Campera,1.0,5604.69,Ana,Mar del Plata,irrelevante
2025-08-28,Gorra,,12173.39,Juan,Rosario,irrelevante
2025-08-28,Pantalón,3.0,9525.1,Carlos,Mar del Plata,irrelevante
2025-08-28,Short,2.0,6737.36,Luz,Mar del Plata,irrelevante
2025-08-28,Jean,2.0,5388.25,Juan,Bahía Blanca,irrelevante
